model,dataset,data_dir,seed,train_percent,hidden,lr,weight_decay,epochs_trained,micro_f1,macro_f1,auc_roc_macro,ap
GCN,hyperspheresv2_10_20_10_h0.4,data/synthetic/hyperspheresv2_10_20_10_h0.4,0,0.6,256,0.01,0.0005,23,0.6489913544668587,0.2320246667668598,0.6967670878977416,0.2741801458838516
GCN,hyperspheresv2_10_20_10_h0.4,data/synthetic/hyperspheresv2_10_20_10_h0.4,1,0.6,256,0.01,0.0005,22,0.644919168591224,0.20930810395508992,0.7223098107341988,0.2763224717189726
GCN,hyperspheresv2_10_20_10_h0.4,data/synthetic/hyperspheresv2_10_20_10_h0.4,2,0.6,256,0.01,0.0005,24,0.6563049853372434,0.230309146836281,0.7065391370499985,0.25998463207653183
GCN,hyperspheresv2_10_20_10_h0.6,data/synthetic/hyperspheresv2_10_20_10_h0.6,0,0.6,256,0.01,0.0005,99,0.7982708933717579,0.3946702938694622,0.9180197492889881,0.5128995075106195
GCN,hyperspheresv2_10_20_10_h0.6,data/synthetic/hyperspheresv2_10_20_10_h0.6,1,0.6,256,0.01,0.0005,99,0.8036951501154734,0.3866338909898281,0.9230355927744229,0.5245379370611705
GCN,hyperspheresv2_10_20_10_h0.6,data/synthetic/hyperspheresv2_10_20_10_h0.6,2,0.6,256,0.01,0.0005,99,0.8017595307917889,0.4290908775400104,0.9168971924705014,0.5138592037113825
GCN,hyperspheresv2_10_20_10_h0.8,data/synthetic/hyperspheresv2_10_20_10_h0.8,0,0.6,256,0.01,0.0005,99,0.9175792507204611,0.7492253608811902,0.985653844479349,0.9052530469702198
GCN,hyperspheresv2_10_20_10_h0.8,data/synthetic/hyperspheresv2_10_20_10_h0.8,1,0.6,256,0.01,0.0005,99,0.9110854503464203,0.7421785275512011,0.9865818586344665,0.909810529230621
GCN,hyperspheresv2_10_20_10_h0.8,data/synthetic/hyperspheresv2_10_20_10_h0.8,2,0.6,256,0.01,0.0005,99,0.9085043988269794,0.7317426737931743,0.9884241215383414,0.9130493232033876
H2GCN,hyperspheresv2_10_20_10_h0.4,data/synthetic/hyperspheresv2_10_20_10_h0.4,0,0.6,64,0.001,0.0005,78,0.6501440922190201,0.2397890308602059,0.6551764620444083,0.2338195328421128
H2GCN,hyperspheresv2_10_20_10_h0.4,data/synthetic/hyperspheresv2_10_20_10_h0.4,1,0.6,64,0.001,0.0005,99,0.6587759815242494,0.23334515219526358,0.6756437427231703,0.23512200565682934
H2GCN,hyperspheresv2_10_20_10_h0.4,data/synthetic/hyperspheresv2_10_20_10_h0.4,2,0.6,64,0.001,0.0005,24,0.6310850439882698,0.2188304309791802,0.6360178710309063,0.21071205425499967
H2GCN,hyperspheresv2_10_20_10_h0.6,data/synthetic/hyperspheresv2_10_20_10_h0.6,0,0.6,64,0.001,0.0005,78,0.6518731988472622,0.2419470316211652,0.6773427214234169,0.2327691711304533
